full_name,position_encoded,team_encoded,current_team_encoded,now_cost,fantasy_points,total_points,goals_scored,assists,clean_sheets,saves,minutes,expected_goals,expected_assists,penalties_saved,penalties_missed,yellow_cards,red_cards,own_goals,bonus,form,form_variability,avg_goals_last_3,avg_assists_last_3,avg_points_last_3,opponent_difficulty,home_difficulty,element
Aaron Cresswell,0,10,18,39.0,1046,3198,0,38,228,0,29.63947368421053,13.709999999999999,125.12,0,0,153,0,0,304,0.12783505154639171,0.5359059343067628,0.0,0.4020618556701031,0.09272391395030084,0.0,0.0,1
Aaron Hickey,0,14,3,43.0,1123,3040,0,114,266,0,29.23333333333333,22.04,26.979999999999997,0,0,456,0,0,76,0.14725085910652916,0.47182539214675895,0.0,1.2061855670103092,0.09719325427566881,0.0,0.0,2
Aaron Ramsdale,2,0,16,44.0,3895,6239,0,0,610,3975,44.368421052631575,0.0,1.16,0,0,39,0,0,347,0.1939003436426116,2.07086987721571,0.0,0.0,0.2660349999006813,0.0,0.0,3
Aaron Wan-Bissaka,0,5,18,46.0,1893,4393,2,78,421,0,36.167836257309936,50.33,91.88,0,0,229,0,0,310,0.23539518900343642,0.9875188314283501,0.020618556701030924,0.7972508591065292,0.14341616510736346,0.0,0.0,4
Abdoulaye Doucouré,3,18,7,51.0,3044,7336,456,190,615,0,46.62748538011696,430.68999999999994,115.7,0,0,495,38,0,646,0.3965277777777778,1.619390999235436,4.802083333333333,2.0,0.2137724791265253,0.0,0.0,5
Abdul Fatawu,3,30,10,52.0,33,26,0,2,0,0,0.1684210526315788,0.41000000000000003,1.42,0,0,0,0,0,3,0.0166666666666666,0.7536809995295959,0.0,0.1349206349206349,0.03894852738783367,0.0,0.0,6
Adam Armstrong,1,8,16,51.0,462,2095,78,41,40,0,15.008187134502922,87.97,29.03,0,1,80,0,0,116,0.10847457627118644,0.7325003361009755,1.3559322033898304,0.711864406779661,0.07514450867052017,0.0,0.0,7
Adam Lallana,3,15,16,50.0,973,2940,76,78,266,0,17.383040935672508,65.13,107.64,0,0,80,0,0,153,0.03548109965635733,0.49772514610978624,0.8041237113402062,0.8144329896907216,0.08801620880757996,0.0,0.0,8
Adam Smith,0,13,2,45.0,2283,5886,0,152,573,0,56.83508771929825,21.5,116.76,0,0,650,0,0,342,0.16030927835051542,1.3029359125152806,0.0,1.577319587628866,0.16619986889935043,0.0,0.0,9
Adam Webster,0,15,4,43.0,1546,3846,0,0,419,0,34.770175438596496,84.38,29.69,0,0,152,0,76,190,0.1951890034364261,0.7000192010846157,0.0,0.0,0.12279760840633251,0.0,0.0,10
Adam Wharton,3,18,6,47.0,284,815,0,48,113,0,6.2447368421052625,6.3,24.6,0,0,32,0,0,64,0.2274774774774774,0.927573546473052,0.0,1.3783783783783783,0.075613185439775,0.0,0.0,11
Adama Traoré,3,1,8,47.0,749,1380,75,114,3,0,4.206432748538008,58.25,35.17,0,0,76,0,0,40,0.2606321839080459,0.7691442733113862,1.3275862068965518,2.0172413793103448,0.10534183775164434,0.0,0.0,12
Adrian Mazilu,3,24,4,45.0,21,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,13
Alejandro Garnacho,3,5,13,61.0,3168,6515,383,344,306,0,35.00438596491228,430.47,144.03,0,0,267,0,0,270,0.1670103092783505,2.374504191145551,3.979381443298969,3.5670103092783507,0.21877917486045723,0.0,0.0,14
Alejo Véliz,1,9,17,50.0,173,418,38,0,0,0,0.4999999999999998,15.959999999999999,0.0,0,0,38,0,0,0,0.0166666666666666,0.10117994776323296,0.6610169491525424,0.0,0.04614480258646021,0.0,0.0,15
Alex Iwobi,3,18,8,58.0,3168,8766,273,383,613,0,63.97251461988304,298.79,328.14,0,0,153,0,0,696,0.268213058419244,1.2775920725976297,2.821305841924399,4.030927835051546,0.21973263412986901,0.0,0.0,16
Alex McCarthy,2,8,16,43.0,258,314,0,0,0,551,6.1052631578947345,0.0,0.0,0,0,0,0,0,0,0.09590395480225983,0.3564402490335334,0.0,0.0,0.05466836484765353,0.0,0.0,17
Alex Mighten,3,7,15,45.0,97,38,0,0,0,0,0.07777777777777421,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,18
Alex Murphy,0,6,14,40.0,59,76,0,0,0,0,0.1222222222222204,0.0,0.0,0,0,0,0,0,0,0.02740112994350278,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,19
Alex Paulsen,2,22,2,40.0,21,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,20
Alex Scott,3,13,2,47.0,404,1569,38,38,115,0,11.219883040935672,31.279999999999998,40.45,0,0,114,0,0,114,0.10310734463276831,0.3706366264966987,0.6610169491525424,0.6610169491525424,0.06936416184971093,0.0,0.0,21
Alexander Isak,1,6,14,88.0,5297,10171,1163,227,413,0,41.03976608187135,1064.6899999999998,152.38000000000002,0,38,144,0,0,1529,0.5116134751773049,3.537847803230792,12.460992907801417,2.4290780141843973,0.3567621858729964,0.0,0.0,22
Alexis Mac Allister,3,15,11,62.0,3702,9517,571,270,615,0,61.32368421052632,595.84,351.34999999999997,0,0,575,38,38,1142,0.3180555555555555,1.428802204278967,6.052083333333333,2.826388888888889,0.255057803468208,0.0,0.0,23
Alfie Devine,3,9,17,45.0,59,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,24
Alfie Dorrington,0,9,17,40.0,33,1,0,0,0,0,0.0038011695906432,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,25
Alfie Gilchrist,0,16,5,40.0,398,680,34,0,34,0,1.9883040935672482,10.88,1.7000000000000002,0,0,34,0,0,0,0.07528735632183901,0.69526396836561,0.5862068965517241,0.0,0.06856687263304756,0.0,0.0,26
Alfie Pond,0,39,19,39.0,16,1,0,0,0,0,0.0002923976608187,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,27
Alfie Whiteman,2,9,17,40.0,59,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,28
Ali Al-Hamadi,1,29,9,48.0,18,8,0,0,0,0,0.0365497076023388,0.35,0.04,0,0,3,0,0,0,0.0166666666666666,0.2685968575036133,0.0,0.0,0.033810441324892124,0.0,0.0,29
Alisson Ramses Becker,2,3,11,54.0,6134,10270,0,38,841,7243,65.31228070175439,0.0,0.96,38,0,76,0,0,917,0.34010416666666665,2.219900866624536,0.0,0.40625,0.40414258188824653,0.0,0.0,30
Alphonse Areola,2,10,18,42.0,2926,4693,0,0,153,5620,33.67690058479532,0.0,0.0,76,0,38,0,39,418,0.1614261168384879,2.8524400007881336,0.0,0.0,0.2034642353455296,0.0,0.0,31
Altay Bayindir,2,5,13,43.0,56,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,32
Amad Diallo,3,5,13,53.0,506,974,44,45,43,0,4.664035087719295,24.07,20.549999999999997,0,0,41,0,0,128,0.1623711340206185,0.8490349784987192,0.42955326460481097,0.4639175257731959,0.058319925312357176,0.0,0.0,33
Amadou Onana,3,18,1,49.0,1088,5396,115,111,525,0,50.353508771929825,195.36,114.47,0,0,527,0,0,269,0.13749999999999993,0.4273768826368822,1.2083333333333333,1.1875,0.09527536929993574,0.0,0.0,34
Amara Nallo,0,2,11,40.0,18,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,35
Amario Cozier-Duberry,3,0,4,45.0,45,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,36
Andreas Hoelgebaum Pereira,3,19,8,50.0,4003,9550,268,725,840,0,59.33011695906433,446.88,381.89,0,1,538,0,0,609,0.11554982817869411,1.4042720742034653,2.804123711340206,7.577319587628866,0.2704646127564904,0.0,0.0,37
Andrew Moran,3,15,4,50.0,48,27,0,0,0,0,0.0868421052631566,0.0,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,38
Andrew Omobamidele,0,7,15,43.0,-47,374,0,0,0,0,7.774269005847952,4.760000000000001,0.68,0,0,68,0,34,0,0.02696969696969692,0.10853849593234466,0.0,0.0,0.023646873357855952,0.0,0.0,39
Andrew Robertson,0,3,11,59.0,3670,7541,114,380,463,0,47.84415204678363,119.82,423.78000000000003,0,0,192,1,0,686,0.40868055555555555,1.496134675321908,1.1875,4.041666666666667,0.2533116570327552,0.0,0.0,40
Andrey Nascimento dos Santos,3,16,5,45.0,78,38,0,0,0,0,0.07777777777777421,2.28,0.0,0,0,0,0,0,0,0.0166666666666666,0.0,0.0,0.0,0.0346820809248554,0.0,0.0,41
André Onana,2,5,13,52.0,3196,5129,0,0,348,5718,38.55263157894737,0.0,3.23,1,0,190,0,0,385,0.31370056497175136,3.2277403424030693,0.0,0.0,0.3497599686489664,0.0,0.0,42
André Trindade da Costa Neto,3,39,19,50.0,30,27,0,0,2,0,0.3105263157894733,0.06999999999999999,0.21000000000000002,0,0,2,0,0,0,0.22499999999999987,0.47753493778886735,0.0,0.0,0.03782577831862888,0.0,0.0,43
Andy Irving,3,38,18,48.0,20,6,0,0,0,0,0.0242690058479529,0.04,0.01,0,0,1,0,0,0,0.05833333333333329,0.10647942749999,0.0,0.0,0.03440682631434068,0.0,0.0,44
Anthony Elanga,3,5,15,51.0,2425,5471,193,385,159,0,31.918128654970758,262.31,192.79,0,0,39,0,0,196,0.18487972508591058,2.363591416339005,1.9896907216494846,3.9690721649484537,0.1735097232981745,0.0,0.0,45
